Statistical profiling result from isolate-0x102801000-v8.log, (27701 ticks, 3751 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    253    0.9%          /usr/lib/system/libsystem_platform.dylib
     58    0.2%          /usr/lib/libc++abi.dylib
     49    0.2%          /usr/lib/system/libsystem_malloc.dylib
      7    0.0%          /usr/lib/system/libsystem_kernel.dylib
      5    0.0%          /usr/lib/system/libsystem_pthread.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    778    2.8%    2.8%  Builtin: KeyedLoadIC_Megamorphic
    533    1.9%    2.0%  StoreIC: A store IC from the snapshot
    529    1.9%    1.9%  LoadIC: A load IC from the snapshot
    324    1.2%    1.2%  LazyCompile: *_tickCallback internal/process/next_tick.js:92:25
    283    1.0%    1.0%  Builtin: KeyedStoreIC_Megamorphic_Strict
    279    1.0%    1.0%  LazyCompile: *_resolve /Users/Axel/Development/router/index.js:111:23
    249    0.9%    0.9%  LazyCompile: *socketOnWrap _http_server.js:690:22
    242    0.9%    0.9%  KeyedLoadIC: A keyed load IC from the snapshot
    238    0.9%    0.9%  Builtin: InterpreterEntryTrampoline
    225    0.8%    0.8%  LazyCompile: ~matchKnownFields _http_incoming.js:150:26
    215    0.8%    0.8%  LazyCompile: ~byteLength buffer.js:496:20
    209    0.8%    0.8%  LazyCompile: *parserOnIncoming _http_server.js:585:26
    192    0.7%    0.7%  LazyCompile: *exports.validate /Users/Axel/Development/router/lib/objects/validation.js:40:20
    179    0.6%    0.7%  Stub: StringAddStub
    178    0.6%    0.7%  LazyCompile: *<anonymous> /Users/Axel/Development/router/lib/http.js:8:49
    169    0.6%    0.6%  LazyCompile: *parserOnHeadersComplete _http_common.js:62:33
    167    0.6%    0.6%  LazyCompile: *resetSocketTimeout _http_server.js:647:28
    149    0.5%    0.5%  LazyCompile: *_writeRaw _http_outgoing.js:246:19
    145    0.5%    0.5%  KeyedStoreIC: A keyed store IC from the snapshot
    139    0.5%    0.5%  Builtin: ArrayIncludes
    130    0.5%    0.5%  Builtin: CallFunction_ReceiverIsAny
    122    0.4%    0.4%  Stub: CallApiCallbackStub
    122    0.4%    0.4%  LazyCompile: *Socket._writeGeneric net.js:687:42
    119    0.4%    0.4%  LazyCompile: *write_ _http_outgoing.js:625:16
    107    0.4%    0.4%  Builtin: StringPrototypeSplit
    106    0.4%    0.4%  Builtin: ObjectPrototypeHasOwnProperty
    106    0.4%    0.4%  Builtin: ArgumentsAdaptorTrampoline
    102    0.4%    0.4%  Builtin: NumberIsSafeInteger
     99    0.4%    0.4%  LazyCompile: ~removeAllListeners events.js:364:32
     93    0.3%    0.3%  LazyCompile: *onParserExecute _http_server.js:476:25
     85    0.3%    0.3%  LazyCompile: *Writable.write _stream_writable.js:268:36
     80    0.3%    0.3%  LazyCompile: *nextTick internal/process/next_tick.js:146:20
     78    0.3%    0.3%  LazyCompile: ~parse /Users/Axel/Development/router/node_modules/query-string/index.js:130:15
     75    0.3%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     73    0.3%    0.3%  Builtin: ObjectKeys
     72    0.3%    0.3%  Builtin: StringEqual
     70    0.3%    0.3%  Builtin: StringToLowerCaseIntl
     68    0.2%    0.2%  LazyCompile: *_storeHeader _http_outgoing.js:291:22
     67    0.2%    0.2%  LazyCompile: *resOnFinish _http_server.js:545:21
     66    0.2%    0.2%  Builtin: Call_ReceiverIsAny
     65    0.2%    0.2%  Stub: JSEntryStub
     64    0.2%    0.2%  LazyCompile: *clearBuffer _stream_writable.js:492:21
     64    0.2%    0.2%  LazyCompile: *ServerResponse _http_server.js:120:24
     61    0.2%    0.2%  Builtin: RegExpPrototypeTest
     58    0.2%    0.2%  LazyCompile: *emit events.js:138:44
     57    0.2%    0.2%  LazyCompile: ~ok assert.js:84:12
     56    0.2%    0.2%  Builtin: FastNewClosure
