Statistical profiling result from isolate-0x102801000-v8.log, (27701 ticks, 3751 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     54    0.2%    0.2%  LazyCompile: ~<anonymous> native typedarray.js:937:48
     52    0.2%    0.2%  LazyCompile: *allowed /Users/Axel/Development/router/lib/objects/validation.js:23:23
     52    0.2%    0.2%  Builtin: ResumeGeneratorTrampoline
     51    0.2%    0.2%  LazyCompile: ~emitPromiseRejectionWarnings internal/process/promises.js:86:38
     51    0.2%    0.2%  Builtin: ToString
     50    0.2%    0.2%  Stub: RecordWriteStub {7}
     49    0.2%    0.2%  LazyCompile: *parserOnMessageComplete _http_common.js:141:33
     48    0.2%    0.2%  Stub: CEntryStub {1}
     44    0.2%    0.2%  Builtin: Call_ReceiverIsNotNullOrUndefined
     44    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     43    0.2%    0.2%  LazyCompile: *_flush _http_outgoing.js:822:51
     43    0.2%    0.2%  LazyCompile: *Readable.read _stream_readable.js:377:35
     43    0.2%    0.2%  Builtin: CallBoundFunction
     42    0.2%    0.2%  Builtin: ResolveNativePromise
     40    0.1%    0.1%  Builtin: PromiseResolveClosure
     39    0.1%    0.1%  Stub: StringAddStub {2}
     39    0.1%    0.1%  LazyCompile: *exports.unenroll timers.js:367:45
     39    0.1%    0.1%  Builtin: StrictEqual
     38    0.1%    0.1%  LazyCompile: *exports.enroll timers.js:390:26
     37    0.1%    0.1%  LazyCompile: *insert timers.js:174:16
     36    0.1%    0.1%  Stub: RecordWriteStub
     36    0.1%    0.1%  Builtin: JSEntryTrampoline
     35    0.1%    0.1%  Builtin: AsyncFunctionAwaitUncaught
     34    0.1%    0.1%  StoreIC: A store IC from the snapshot {1}
     34    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
     33    0.1%    0.1%  Stub: RecordWriteStub {3}
     32    0.1%    0.1%  Stub: RecordWriteStub {8}
     32    0.1%    0.1%  Stub: GetPropertyStub
     32    0.1%    0.1%  LazyCompile: *remove internal/linkedlist.js:15:16
     31    0.1%    0.1%  Builtin: PromiseHandle
     31    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame
     29    0.1%    0.1%  LazyCompile: *reuse timers.js:350:15
     29    0.1%    0.1%  Builtin: RegExpReplace
     28    0.1%    0.1%  LoadIC: A load IC from the snapshot {1}
     28    0.1%    0.1%  Handler: An IC handler from the snapshot
     27    0.1%    0.1%  Stub: RecordWriteStub {2}
     26    0.1%    0.1%  LazyCompile: *_addHeaderLine _http_incoming.js:286:24
     26    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     25    0.1%    0.1%  Stub: RecordWriteStub {5}
     25    0.1%    0.1%  Builtin: CallWithArrayLike
     24    0.1%    0.1%  Stub: RecordWriteStub {6}
     24    0.1%    0.1%  Builtin: PromiseConstructor
     23    0.1%    0.1%  RegExp: [^\\t\\x20-\\x7e\\x80-\\xff]
     23    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:445:17
     22    0.1%    0.1%  Stub: CallApiCallbackStub {1}
     22    0.1%    0.1%  Builtin: CompileLazy
     20    0.1%    0.1%  LazyCompile: *parse /Users/Axel/Development/router/node_modules/query-string/index.js:130:15
     20    0.1%    0.1%  Builtin: StringPrototypeSubstring
     20    0.1%    0.1%  Builtin: StringIndexOf
     19    0.1%    0.1%  LazyCompile: *emitReadable_ _stream_readable.js:523:23
     19    0.1%    0.1%  Builtin: Add
     18    0.1%    0.1%  Builtin: StringConstructor
     17    0.1%    0.1%  Stub: StringAddStub {1}
     17    0.1%    0.1%  Stub: CEntryStub
     17    0.1%    0.1%  LazyCompile: *required /Users/Axel/Development/router/lib/objects/validation.js:12:24
     17    0.1%    0.1%  LazyCompile: *module.exports /Users/Axel/Development/router/lib/filters/path.js:5:18
     17    0.1%    0.1%  Builtin: JsonStringify
     17    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
     16    0.1%    0.1%  Stub: RecordWriteStub {4}
     15    0.1%    0.1%  LazyCompile: *pushValueToArray bootstrap_node.js:300:30
     14    0.1%    0.1%  Stub: RecordWriteStub {9}
     14    0.1%    0.1%  RegExp: ^:
     14    0.1%    0.1%  Builtin: AdaptorWithExitFrame
     13    0.0%    0.0%  Stub: RecordWriteStub {1}
     13    0.0%    0.0%  LazyCompile: *module.exports /Users/Axel/Development/router/lib/filters/method.js:7:18
     13    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
     13    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
     13    0.0%    0.0%  Builtin: AsyncFunctionPromiseCreate
     12    0.0%    0.0%  Stub: CallApiCallbackStub {2}
     12    0.0%    0.0%  LazyCompile: *module.exports /Users/Axel/Development/router/lib/filters/parameter.js:5:18
     12    0.0%    0.0%  LazyCompile: *matchKnownFields _http_incoming.js:150:26
     12    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:99:6
     12    0.0%    0.0%  Builtin: JSConstructStubApi
     12    0.0%    0.0%  Builtin: FastNewObject
     12    0.0%    0.0%  Builtin: CallVarargs
     11    0.0%    0.0%  LazyCompile: *keys.find.key /Users/Axel/Development/router/lib/filters/parameter.js:9:27
     11    0.0%    0.0%  Builtin: StringPrototypeReplace
     11    0.0%    0.0%  Builtin: LoadICProtoArray
     10    0.0%    0.0%  RegExp: ^[?#&]
     10    0.0%    0.0%  LazyCompile: ~insert timers.js:174:16
      9    0.0%    0.0%  LazyCompile: ~onParserExecuteCommon _http_server.js:499:31
      9    0.0%    0.0%  Builtin: StringCharAt
      9    0.0%    0.0%  Builtin: ResolvePromise
      9    0.0%    0.0%  Builtin: PerformNativePromiseThen
      8    0.0%    0.0%  LazyCompile: ~resume_ _stream_readable.js:831:17
      8    0.0%    0.0%  LazyCompile: ~resOnFinish _http_server.js:545:21
      8    0.0%    0.0%  LazyCompile: *find native array.js:855:46
      7    0.0%    0.0%  LazyCompile: ~removeListener events.js:306:28
      7    0.0%    0.0%  LazyCompile: ~_addListener events.js:191:22
      7    0.0%    0.0%  Builtin: StringPrototypeToLowerCaseIntl
      7    0.0%    0.0%  Builtin: NumberParseInt
      6    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:473:20
      6    0.0%    0.0%  LazyCompile: *InnerArrayFind native array.js:843:24
      5    0.0%    0.0%  Stub: RecordWriteStub {11}
      5    0.0%    0.0%  Stub: RecordWriteStub {10}
      5    0.0%    0.0%  LazyCompile: ~module.exports /Users/Axel/Development/router/lib/filters/parameter.js:5:18
      5    0.0%    0.0%  LazyCompile: ~_addHeaderLine _http_incoming.js:286:24
      5    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:831:17
      5    0.0%    0.0%  LazyCompile: *endReadableNT _stream_readable.js:1101:23
      4    0.0%    0.0%  LazyCompile: ~socketOnWrap _http_server.js:690:22
      4    0.0%    0.0%  LazyCompile: ~remove internal/linkedlist.js:15:16
      4    0.0%    0.0%  LazyCompile: ~end _http_outgoing.js:731:45
      4    0.0%    0.0%  LazyCompile: ~TickObject internal/process/next_tick.js:124:16
      4    0.0%    0.0%  LazyCompile: ~Socket.setTimeout net.js:365:39
      4    0.0%    0.0%  LazyCompile: ~IncomingMessage _http_incoming.js:38:25
      4    0.0%    0.0%  LazyCompile: *onFinish _http_outgoing.js:727:18
      3    0.0%    0.0%  LazyCompile: ~reuse timers.js:350:15
      3    0.0%    0.0%  LazyCompile: ~parserOnIncoming _http_server.js:585:26
      3    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:146:20
      3    0.0%    0.0%  LazyCompile: ~flow _stream_readable.js:855:14
      3    0.0%    0.0%  LazyCompile: ~exports.unenroll timers.js:367:45
      3    0.0%    0.0%  LazyCompile: ~endReadableNT _stream_readable.js:1101:23
      3    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:687:42
      3    0.0%    0.0%  LazyCompile: ~InnerArrayFind native array.js:843:24
      3    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/Axel/Development/router/lib/http.js:8:49
      3    0.0%    0.0%  LazyCompile: *parserForArrayFormat /Users/Axel/Development/router/node_modules/query-string/index.js:41:30
      3    0.0%    0.0%  Builtin: ObjectCreate
      3    0.0%    0.0%  Builtin: HandleApiCall
      3    0.0%    0.0%  Builtin: GlobalIsFinite
      2    0.0%    0.0%  LazyCompile: ~resetSocketTimeout _http_server.js:647:28
      2    0.0%    0.0%  LazyCompile: ~processImmediate timers.js:692:26
      2    0.0%    0.0%  LazyCompile: ~parserOnHeadersComplete _http_common.js:62:33
      2    0.0%    0.0%  LazyCompile: ~find native array.js:855:46
      2    0.0%    0.0%  LazyCompile: ~exports.enroll timers.js:390:26
      2    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:164:32
      2    0.0%    0.0%  LazyCompile: ~endReadable _stream_readable.js:1092:21
      2    0.0%    0.0%  LazyCompile: ~emit events.js:138:44
      2    0.0%    0.0%  LazyCompile: ~clearBuffer _stream_writable.js:492:21
      2    0.0%    0.0%  LazyCompile: ~append internal/linkedlist.js:29:16
      2    0.0%    0.0%  LazyCompile: ~_writeRaw _http_outgoing.js:246:19
      2    0.0%    0.0%  LazyCompile: ~_tickCallback internal/process/next_tick.js:92:25
      2    0.0%    0.0%  LazyCompile: ~_flush _http_outgoing.js:822:51
      2    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:268:36
      2    0.0%    0.0%  LazyCompile: ~ServerResponse _http_server.js:120:24
      2    0.0%    0.0%  LazyCompile: ~ReadableState _stream_readable.js:59:23
      2    0.0%    0.0%  LazyCompile: ~Readable.resume _stream_readable.js:814:37
      2    0.0%    0.0%  LazyCompile: ~Readable.on _stream_readable.js:783:33
      2    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:286:52
      2    0.0%    0.0%  Builtin: FastArrayShift
      2    0.0%    0.0%  Builtin: AsyncFunctionAwaitResolveClosure
      1    0.0%    0.0%  Stub: StoreFastElementStub {1}
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: StoreBufferOverflowStub
      1    0.0%    0.0%  StoreIC: A store IC from the snapshot {2}
      1    0.0%    0.0%  LazyCompile: ~write_ _http_outgoing.js:625:16
      1    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:362:23
      1    0.0%    0.0%  LazyCompile: ~writeHead _http_server.js:196:19
      1    0.0%    0.0%  LazyCompile: ~validateAsyncId internal/async_hooks.js:111:25
      1    0.0%    0.0%  LazyCompile: ~utcDate internal/http.js:6:17
      1    0.0%    0.0%  LazyCompile: ~spliceOne internal/util.js:289:19
      1    0.0%    0.0%  LazyCompile: ~resume _stream_readable.js:824:16
      1    0.0%    0.0%  LazyCompile: ~pushAsyncIds internal/async_hooks.js:349:22
      1    0.0%    0.0%  LazyCompile: ~onwriteDrain _stream_writable.js:484:22
      1    0.0%    0.0%  LazyCompile: ~nop _stream_writable.js:40:13
      1    0.0%    0.0%  LazyCompile: ~module.exports /Users/Axel/Development/router/lib/filters/path.js:5:18
      1    0.0%    0.0%  LazyCompile: ~keys.find.key /Users/Axel/Development/router/lib/filters/parameter.js:9:27
      1    0.0%    0.0%  LazyCompile: ~internalNextTick internal/process/next_tick.js:170:28
      1    0.0%    0.0%  LazyCompile: ~howMuchToRead _stream_readable.js:351:23
      1    0.0%    0.0%  LazyCompile: ~exports.ensure.obj /Users/Axel/Development/router/lib/objects/request.js:11:18
      1    0.0%    0.0%  LazyCompile: ~emitReadable_ _stream_readable.js:523:23
      1    0.0%    0.0%  LazyCompile: ~emitAfterScript internal/async_hooks.js:328:25
      1    0.0%    0.0%  LazyCompile: ~assignSocket _http_server.js:169:62
      1    0.0%    0.0%  LazyCompile: ~allowed /Users/Axel/Development/router/lib/objects/validation.js:23:23
      1    0.0%    0.0%  LazyCompile: ~afterWrite _stream_writable.js:473:20
      1    0.0%    0.0%  LazyCompile: ~addListener events.js:257:58
      1    0.0%    0.0%  LazyCompile: ~_finish _http_server.js:136:52
      1    0.0%    0.0%  LazyCompile: ~_dump _http_incoming.js:313:49
      1    0.0%    0.0%  LazyCompile: ~Socket._write net.js:759:35
      1    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:377:35
      1    0.0%    0.0%  LazyCompile: ~Module._load module.js:453:24
      1    0.0%    0.0%  LazyCompile: ~BufferList internal/streams/BufferList.js:10:14
      1    0.0%    0.0%  LazyCompile: ~$getMaxListeners events.js:87:26
      1    0.0%    0.0%  LazyCompile: *flow _stream_readable.js:855:14
      1    0.0%    0.0%  LazyCompile: *emitPromiseRejectionWarnings internal/process/promises.js:86:38
      1    0.0%    0.0%  LazyCompile: *byteLength buffer.js:496:20
      1    0.0%    0.0%  LazyCompile: *addListener events.js:257:58
      1    0.0%    0.0%  LazyCompile: *_addListener events.js:191:22
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:71:25
      1    0.0%    0.0%  Builtin: ToObject
      1    0.0%    0.0%  Builtin: StringPrototypeTrim
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: LoadIC_Noninlined
      1    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext

 [C++]:
   ticks  total  nonlib   name
   2016    7.3%    7.4%  T _task_info
   1160    4.2%    4.2%  T _http_parser_execute
    896    3.2%    3.3%  T v8::internal::Runtime_StringSplit(int, v8::internal::Object**, v8::internal::Isolate*)
    866    3.1%    3.2%  T _task_threads
    841    3.0%    3.1%  T _thread_policy_get
    259    0.9%    0.9%  T void v8::internal::LookupIterator::Start<true>()
    212    0.8%    0.8%  T v8::Object::Get(unsigned int)
    185    0.7%    0.7%  t v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, bool, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Handle<v8::internal::Object>, v8::internal::Execution::MessageHandling)
    183    0.7%    0.7%  T v8::Object::Get(v8::Local<v8::Context>, unsigned int)
    162    0.6%    0.6%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
    124    0.4%    0.5%  t node::(anonymous namespace)::Parser::Proxy<int (node::(anonymous namespace)::Parser::*)(), &(node::(anonymous namespace)::Parser::on_headers_complete())>::Raw(http_parser*)
    123    0.4%    0.5%  T v8::internal::Isolate::RunMicrotasksInternal()
    121    0.4%    0.4%  T v8::internal::FastGetOwnValuesOrEntries(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSReceiver>, bool, v8::internal::Handle<v8::internal::FixedArray>*)
    106    0.4%    0.4%  T v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
    105    0.4%    0.4%  T node::InternalCallbackScope::Close()
    100    0.4%    0.4%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
    100    0.4%    0.4%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::GetEntryForIndex(v8::internal::Isolate*, v8::internal::JSObject*, v8::internal::FixedArrayBase*, unsigned int)
     99    0.4%    0.4%  T ___pthread_init
     91    0.3%    0.3%  T v8::Value::IsFunction() const
     90    0.3%    0.3%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
     90    0.3%    0.3%  t _tiny_malloc_should_clear
     87    0.3%    0.3%  T v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, int, int, v8::internal::ArrayStorageAllocationMode, v8::internal::PretenureFlag)
     84    0.3%    0.3%  T v8::internal::Logger::ApiEntryCall(char const*)
     83    0.3%    0.3%  T v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
     83    0.3%    0.3%  T v8::HandleScope::Initialize(v8::Isolate*)
     77    0.3%    0.3%  t void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
     76    0.3%    0.3%  T v8::internal::JSObject::GetElementsAccessor()
     72    0.3%    0.3%  T node::AsyncWrap::EmitTraceEventAfter()
     70    0.3%    0.3%  t v8::(anonymous namespace)::CallDepthScope<false>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     70    0.3%    0.3%  T v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::Object*, v8::internal::Map*)
     68    0.2%    0.2%  T v8::internal::Heap::AllocateJSObjectFromMap(v8::internal::Map*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
     67    0.2%    0.2%  T v8::internal::Factory::NewJSObjectFromMap(v8::internal::Handle<v8::internal::Map>, v8::internal::PretenureFlag, v8::internal::Handle<v8::internal::AllocationSite>)
     66    0.2%    0.2%  t _uv__stream_io
     65    0.2%    0.2%  T v8::internal::Factory::NewJSArrayStorage(v8::internal::Handle<v8::internal::JSArray>, int, int, v8::internal::ArrayStorageAllocationMode)
     64    0.2%    0.2%  T v8::internal::Isolate::PromiseReactionJob(v8::internal::Handle<v8::internal::PromiseReactionJobInfo>, v8::internal::MaybeHandle<v8::internal::Object>*, v8::internal::MaybeHandle<v8::internal::Object>*)
     62    0.2%    0.2%  T v8::internal::TimerEventScope<v8::internal::TimerEventExecute>::LogTimerEvent(v8::internal::Logger::StartEnd)
     61    0.2%    0.2%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
     59    0.2%    0.2%  T v8::internal::ThreadId::GetCurrentThreadId()
     58    0.2%    0.2%  T v8::internal::String::SlowEquals(v8::internal::String*)
     58    0.2%    0.2%  T v8::internal::LookupIterator::ApplyTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>)
     57    0.2%    0.2%  t node::(anonymous namespace)::StringPtr::Reset()
     55    0.2%    0.2%  T v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
     54    0.2%    0.2%  T v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
     52    0.2%    0.2%  t node::(anonymous namespace)::TimerWrap::Now(v8::FunctionCallbackInfo<v8::Value> const&)
     52    0.2%    0.2%  T v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::Object::StoreFromKeyed)
     52    0.2%    0.2%  T v8::Locker::IsActive()
     52    0.2%    0.2%  T node::InternalCallbackScope::InternalCallbackScope(node::Environment*, v8::Local<v8::Object>, node::async_context const&, node::InternalCallbackScope::ResourceExpectation)
     50    0.2%    0.2%  t void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     50    0.2%    0.2%  t node::(anonymous namespace)::StringPtr::Update(char const*, unsigned long)
     49    0.2%    0.2%  t _parse_url_char
     49    0.2%    0.2%  T v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
     47    0.2%    0.2%  T node::AsyncWrap::EmitTraceEventBefore()
     46    0.2%    0.2%  T v8::internal::Heap::InitializeJSObjectBody(v8::internal::JSObject*, v8::internal::Map*, int)
     46    0.2%    0.2%  T _thread_self_trap
     44    0.2%    0.2%  T v8::internal::Map::FindRootMap() const
     44    0.2%    0.2%  T v8::internal::Factory::NewJSArrayWithElements(v8::internal::Handle<v8::internal::FixedArrayBase>, v8::internal::ElementsKind, int, v8::internal::PretenureFlag)
     43    0.2%    0.2%  t v8::internal::(anonymous namespace)::MakeStringThin(v8::internal::String*, v8::internal::String*, v8::internal::Isolate*)
     43    0.2%    0.2%  T v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
     42    0.2%    0.2%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::Get(v8::internal::Handle<v8::internal::JSObject>, unsigned int)
     42    0.2%    0.2%  t node::(anonymous namespace)::Parser::Proxy<int (node::(anonymous namespace)::Parser::*)(char const*, unsigned long), &(node::(anonymous namespace)::Parser::on_header_value(char const*, unsigned long))>::Raw(http_parser*, char const*, unsigned long)
     42    0.2%    0.2%  t __malloc_initialize
     42    0.2%    0.2%  T v8::Value::IsExternal() const
     42    0.2%    0.2%  T node::InternalMakeCallback(node::Environment*, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*, node::async_context)
     41    0.1%    0.2%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
     40    0.1%    0.1%  t void v8::Utf8WriterVisitor::Visit<unsigned short>(unsigned short const*, int)
     40    0.1%    0.1%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
     39    0.1%    0.1%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
     39    0.1%    0.1%  T v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     38    0.1%    0.1%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::SetLengthImpl(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSArray>, unsigned int, v8::internal::Handle<v8::internal::FixedArrayBase>)
     38    0.1%    0.1%  t node::(anonymous namespace)::Parser::Proxy<int (node::(anonymous namespace)::Parser::*)(char const*, unsigned long), &(node::(anonymous namespace)::Parser::on_header_field(char const*, unsigned long))>::Raw(http_parser*, char const*, unsigned long)
     38    0.1%    0.1%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     37    0.1%    0.1%  T v8::Context::Enter()
     35    0.1%    0.1%  t _uv__io_poll
     35    0.1%    0.1%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
     34    0.1%    0.1%  t v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
     34    0.1%    0.1%  t v8::(anonymous namespace)::CallDepthScope<true>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     34    0.1%    0.1%  T v8::internal::Heap::CopyJSObject(v8::internal::JSObject*, v8::internal::AllocationSite*)
     34    0.1%    0.1%  T node::Emit(node::Environment*, double, node::Environment::AsyncHooks::Fields, v8::Local<v8::Function>)
     33    0.1%    0.1%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
